Course Code,Course Title,Semester,L,T,P
MTH136,DISCRETE STRUCTURES,,3,1,0
PEL200,ENGLISH COMMUNICATION SKILLS,,3,1,0
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP368,SEMINAR ON SUMMER TRAINING,,0,0,8
CAP449,INDUSTRY CO-OP PROJECT,,0,0,32
CAP449,INDUSTRY CO-OP PROJECT,,0,0,32
CAP100,PROGRAMMING IN C,,2,0,0
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP180,PROGRAMMING IN C-LABORATORY,,0,0,4
CAP366,OPERATING SYSTEM DESIGN AND PRINCIPLES,,3,0,0
CAP476,DATA COMMUNICATION AND NETWORKING,,2,0,0
CAP478,DATA COMMUNICATION AND NETWORKING-LABORATORY,,0,0,2
CAP570,ADVANCED DATABASE TECHNIQUES,,2,0,3
CAP575,DATA ANALYTICS USING R,,0,0,5
MTH403,MATHEMATICAL FOUNDATION FOR COMPUTER SCIENCE,,3,1,0
,GENERIC ELECTIVE 2,,0,0,0
,GENERIC ELECTIVE 3,,0,0,0
CAP426,ARTIFICIAL INTELLIGENCE FOR INTERACTIVE DATA VISUALIZATION,,0,0,4
CAP598,SOFTWARE ENGINEERING AND PROJECT MANAGEMENT,,3,0,0
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP776,PROGRAMMING IN PYTHON,,3,0,2
CAP798,RESEARCH PROJECT -I,,0,0,8
ECE662,IOT WITH NODEMCU,,3,0,2
ECE663,EMBEDDED SYSTEMS WITH MICROPYTHON,,3,0,2
FIN501,CORPORATE FINANCE,,3,1,0
FIN623,INTERNATIONAL FINANCIAL MANAGEMENT,,4,0,0
FIN656,INTERNATIONAL BANKING AND FOREX MANAGEMENT,,4,0,0
GEN531,RESEARCH METHODS AND DESIGN,,4,0,0
MKT501,MARKETING MANAGEMENT,,4,0,0
MKT512,DIGITAL AND SOCIAL MEDIA MARKETING,,3,1,0
MKT613,CONSUMER BEHAVIOR,,3,1,0
,PATHWAY ELECTIVE 3,,0,0,0
,PATHWAY ELECTIVE 4,,0,0,0
CAB311,DEEP LEARNING,,3,0,2
CAB312,BIG DATA ANALYTICS,,0,0,4
CAP415,INTRODUCTION TO IOT AND ARDUINO,,3,0,2
CAP418,WORKSHOP ON IOT,,2,0,0
CAP419,WORKSHOP ON IOT- LABORATORY,,0,0,4
CAP450,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,,2,0,2
CAP538,ALGORITHM DESIGN AND ANALYSIS,,3,0,0
CAP539,ALGORITHM DESIGN AND ANALYSIS - LABORATORY,,0,0,2
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP771,SOFTWARE TESTING AND QUALITY ASSURANCE,,3,0,2
CAP778,COMBINATORIAL STUDIES-I,,3,1,0
CAP779,COMBINATORIAL STUDIES-II,,3,1,0
PES515,SOFT SKILLS- II,,1,2,0
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP831,INDUSTRY CO-OP PROJECT,,0,0,32
,PATHWAY ELECTIVE 4,,0,0,0
,PATHWAY ELECTIVE 3,,0,0,0
CAD201,PROBABILITY AND STATISTICS FOR DATA SCIENCE,,3,0,0
CAD401,DATA EXPLORATION AND PREPARATION,,2,0,2
CAD402,DATA VISUALIZATION AND STORYTELLING,,2,0,2
CAP415,INTRODUCTION TO IOT AND ARDUINO,,3,0,2
CAP418,WORKSHOP ON IOT,,2,0,0
CAP419,WORKSHOP ON IOT- LABORATORY,,0,0,4
CAP450,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,,2,0,2
CAP538,ALGORITHM DESIGN AND ANALYSIS,,3,0,0
CAP539,ALGORITHM DESIGN AND ANALYSIS - LABORATORY,,0,0,2
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP771,SOFTWARE TESTING AND QUALITY ASSURANCE,,3,0,2
CAP778,COMBINATORIAL STUDIES-I,,3,1,0
CAP779,COMBINATORIAL STUDIES-II,,3,1,0
PES515,SOFT SKILLS- II,,1,2,0
CAP735,SEMINAR ON SUMMER TRAINING/ MOOC CERTIFICATION,,0,0,8
CAP831,INDUSTRY CO-OP PROJECT,,0,0,32
,PATHWAY ELECTIVE 1,,0,0,0
CAP100M,PROGRAMME ORIENTATION,,2,0,0
CAP443,LINUX AND SHELL SCRIPTING - LAB,,0,0,4
CAP455,OBJECT ORIENTED PROGRAMMING USING C++,,3,0,2
CAP476,DATA COMMUNICATION AND NETWORKING,,2,0,0
CAP478,DATA COMMUNICATION AND NETWORKING-LABORATORY,,0,0,2
CAP570,ADVANCED DATABASE TECHNIQUES,,2,0,3
CAP598,SOFTWARE ENGINEERING AND PROJECT MANAGEMENT,,3,0,0
PEA515,ANALYTICAL SKILLS-I,,2,2,0
PEL544,CORPORATE COMMUNICATION SKILLS,,2,0,2
,DEPARTMENT ELECTIVE 1,,0,0,0
,PATHWAY ELECTIVE 3,,0,0,0
,PATHWAY ELECTIVE 4,,0,0,0
,SPECIALIZATION ELECTIVE 2,,0,0,0
,SPECIALIZATION ELECTIVE 1,,0,0,0
